location_type,stop_id,stop_lat,stop_lon,parent_station,stop_name,stop_code,stop_timezone,preferred,stop_url,wheelchair_boarding,stop_desc,zone_id
0,93186,43.9084673,-78.92209579999998,,Thickson Northbound @ Winterberry,93186,,2,,1,,
0,93188,43.88768000000001,-78.891874,,Thornton Southbound @ Arklow,93188,,2,,2,,
0,93189,43.880828,-78.821307,,Westbound @ 944 Colonel Sam,93189,,2,,1,,
0,93191,43.85004333,-79.07550836999998,,Brock Road Southbound @ Finch,93191,,2,,1,,
0,93208,43.830949,-79.14252,,Altona Northbound @ Sparrow (North stop),93208,,2,,2,,
0,93216,43.819415,-79.115736,,Whites Southbound @ Kingston,93216,,2,,1,,
0,93217,43.81854417000001,-79.115326,,Whites Northbound @ Kingston,93217,,2,,1,,
0,93218,43.8118895,-79.1114637,,Oklahoma Eastbound @ Whites,93218,,1,,1,,
0,93219,43.81194,-79.1119982,,Oklahoma Westbound @ Whites,93219,,1,,1,,
0,93220,43.8123605,-79.1093549,,Oklahoma Eastbound @ Eyer,93220,,2,,1,,
0,93221,43.812462,-79.1093492,,Oklahoma Westbound @ Eyer,93221,,2,,1,,
0,93222,43.812872,-79.10702,,Oklahoma Eastbound @ Hillcrest,93222,,2,,1,,
0,93223,43.81333974000001,-79.10486,,Oklahoma Eastbound @ Victory,93223,,2,,1,,
0,93224,43.813811,-79.102832,,Oklahoma Eastbound @ West Shore,93224,,2,,1,,
0,93227,43.79915600000001,-79.14547,,Kingston Eastbound @ Port Union,93227,,2,,1,,
